"","Year","Month","Day","Sampling Site","Depth","Conductivity (mmohs·cm-1)","pH (units)","Alkalinity (mg·L-1 as CaCO3)","Turbidity (NTU)","Color (PT units)","Calcium (mg·L-1)","Magnesium (mg·L-1)","Iron (mg·L-1)","Total Phosphorus (mg·L-1 as P)","Total Filterable Phosphorus (mg·L-1 as P)","Filterable Reactive Phosphorus (mg·L-1 as P)","Total Kjeldahl Nitrogen (mg·L-1 as N)","Ammonia (mg·L-1 as N)","Nitrate + Nitrite (mg·L-1 as N)","Reactive Silicon (mg·L-1 as Si)","Particulate Carbon (mg·L-1 as C)","Total Particulate Phosphorus (mg·L-1 as P)","Total Particulate Nitrogen (mg·L-1 as N)","N:P (atom ratio)"
"37",1996,9,18,"1",1,151,6.5,7.1,1,13,2.6,2.6,9,3.2,1.1,0.8,61.8,5.7,26.3,788,45,NA,NA,"66:1"
"38",1996,9,18,"1",66,233,6.3,7,1,12,2.6,3.9,14,3.2,2,1.3,58.4,5.6,67.4,775,7,NA,NA,"94:1"
"39",1996,9,18,"2",1,328,6.8,7.2,0.3,11,3.5,3.9,2.9,2.9,0.9,0.8,65.9,3.5,71,750,7,NA,NA,"113:1"
"40",1996,9,18,"2",66,209,6.7,7.1,0.7,12,2.6,2.6,9,4.1,1.6,0.9,83.7,6.8,27,737,81,NA,NA,"64:1"
"41",1996,9,18,"3",1,148,6.6,7,0.5,15,2.6,2.6,11,2.6,2.6,1.6,79.5,8.7,23.7,737,84,NA,NA,"95:1"
"42",1996,9,18,"3",66,233,6.5,7.1,0.4,13,2.6,3.9,3,2,1.9,1.5,51.6,6.4,75.2,756,7,NA,NA,"151:1"
"43",1996,10,16,"1",1,153,6.4,6.6,0.7,13,2.8,2.6,42,3.2,2.1,1.2,84.5,12.3,49.2,841,NA,NA,NA,"100:1"
"44",1996,10,16,"1",66,248,6.4,7.6,0.7,13,3.7,4.5,30,2.2,0.9,1.1,53.3,3.9,75.8,860,NA,NA,NA,"140:1"
"45",1996,10,16,"2",1,153,6.5,6.8,0.8,13,2.8,2.6,38,2.4,1.8,1.2,69.3,3.2,43.4,822,NA,NA,NA,"112:1"
"46",1996,10,16,"2",66,220,6.4,7.5,0.8,11,3.7,4.5,26,1.8,1.6,1,52.5,3.5,74.1,828,NA,NA,NA,"168:1"
"47",1996,10,16,"3",1,153,6.5,6.5,0.7,14,2.8,2.6,35,4.5,1.1,0.9,99.7,3.2,44.3,822,NA,NA,NA,"76:1"
"48",1996,10,16,"3",66,232,6.4,6.9,0.4,12,3.7,3.8,19,1.8,1.4,0.9,60,5.6,75.2,809,NA,NA,NA,"179:1"
"49",1995,3,17,"1",1,205,6.7,6.1,0.3,4,3,4,62,2.4,2.2,0.6,60.4,1.7,62.8,849,23,NA,NA,"122:1"
"50",1995,3,17,"1",66,216,6.3,6,0.3,5,3,4,38,2.5,2.2,0.4,58,1.7,66.8,825,8,NA,NA,"119:1"
"51",1995,3,17,"2",1,225,6.4,6,0.3,4,3,4,26,2.1,2.4,0.3,46.6,1.7,67.3,837,8,NA,NA,"129:1"
"52",1995,3,17,"2",66,209,6.3,6,0.3,4,4,4,26,2.1,2.3,0.5,41.8,1.7,64.8,813,8,NA,NA,"121:1"
"53",1995,3,17,"3",1,216,6.3,7,0.4,5,4,4,42,2.5,2.3,0.4,55.5,1.7,63.3,813,15,NA,NA,"113:1"
"54",1995,3,17,"3",66,210,6.3,5,0.3,4,3,4,41,2.6,2.3,0.3,53.9,1.7,63.8,813,8,NA,NA,"108:1"
"55",1995,4,13,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,NA,NA,94.2,NA,NA,NA,NA,NA,NA
"56",1995,4,13,"1",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",1995,4,13,"2",1,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,45.4,NA,NA,NA,NA,NA,NA
"58",1995,4,13,"2",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",1995,4,13,"3",1,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA,48.6,NA,NA,NA,NA,NA,NA
"60",1995,4,13,"3",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",1995,5,11,"1",1,185,6.3,5.5,0.4,12,3.9,3.4,13,2.9,2.2,1.7,54.1,1.7,73.8,845,32,NA,NA,"105:1"
"62",1995,5,11,"1",66,219,6.3,6,0.3,15,3.9,3.4,18,2.6,2.1,1,43,1.7,79.6,833,44,NA,NA,"112:1"
"63",1995,5,11,"2",1,207,6.4,6.7,0.5,13,2.9,3.4,30,5.5,1.7,1.2,92.7,1.7,68.8,796,102,NA,NA,"70:1"
"64",1995,5,11,"2",66,215,6.4,6,0.9,13,3.9,4,15,2.6,2.3,1.4,44.6,1.7,78.8,808,20,NA,NA,"113:1"
"65",1995,5,11,"3",1,211,6.4,5,0.6,11,2.9,4,11,2.8,2.5,1.8,42.2,1.7,71.3,796,58,NA,NA,"97:1"
"66",1995,5,11,"3",66,215,6.3,6,0.5,11,3.9,4,11,2.7,1.9,1.9,45.4,1.7,76.2,796,12,NA,NA,"107:1"
"67",1995,6,12,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,87.9,NA,NA,NA,NA,NA,NA
"68",1995,6,12,"1",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",1995,6,12,"2",1,NA,NA,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,78.5,NA,NA,NA,NA,NA,NA
"70",1995,6,12,"2",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",1995,6,12,"3",1,NA,NA,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,87.9,NA,NA,NA,NA,NA,NA
"72",1995,6,12,"3",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",1995,7,11,"1",1,151,6.6,7.5,1.8,8,2.7,2.5,30,9.1,3.3,1.2,117.9,1.7,4,537,269,NA,NA,"32:1"
"74",1995,7,11,"1",66,208,6.5,8,0.4,12,2.7,3.7,26,2.4,2.4,1.5,38.3,1.7,77.1,902,12,NA,NA,"115:1"
"75",1995,7,11,"2",1,160,6.7,8.1,1.1,11,2.7,3.1,31,7.8,2.8,1.5,120.2,2.7,4,427,NA,NA,NA,"38:1"
"76",1995,7,11,"2",66,209,6.5,8.8,0.3,11,2.7,3.7,28,11.8,5.4,2.2,49.4,1.7,76.2,850,26,NA,NA,"25:1"
"77",1995,7,11,"3",1,163,6.7,8.4,1.4,8,3.6,2.5,66,7.2,5.2,1.6,110,1.7,4,346,327,NA,NA,"38:1"
